"","common_name","sci_name","year","count"
"1","Acadian Flycatcher","Empidonax virescens",2000,10
"2","Acadian Flycatcher","Empidonax virescens",2001,17
"3","Acadian Flycatcher","Empidonax virescens",2002,11
"4","Acadian Flycatcher","Empidonax virescens",2003,9
"5","Acadian Flycatcher","Empidonax virescens",2004,8
"6","Acadian Flycatcher","Empidonax virescens",2005,15
"7","Acadian Flycatcher","Empidonax virescens",2006,5
"8","Acadian Flycatcher","Empidonax virescens",2007,11
"9","Acadian Flycatcher","Empidonax virescens",2008,9
"10","Acadian Flycatcher","Empidonax virescens",2009,6
"11","Acadian Flycatcher","Empidonax virescens",2010,11
"12","Acadian Flycatcher","Empidonax virescens",2011,11
"13","Acadian Flycatcher","Empidonax virescens",2012,11
"14","Acadian Flycatcher","Empidonax virescens",2013,11
"15","Acadian Flycatcher","Empidonax virescens",2014,15
"16","Acadian Flycatcher","Empidonax virescens",2015,22
"17","Acadian Flycatcher","Empidonax virescens",2016,12
"18","Acadian Flycatcher","Empidonax virescens",2017,18
"19","Acadian Flycatcher","Empidonax virescens",2018,20
"20","Acadian Flycatcher","Empidonax virescens",2019,25
"21","Acadian Flycatcher","Empidonax virescens",2020,34
"22","Acadian Flycatcher","Empidonax virescens",2021,28
"23","Acadian Flycatcher","Empidonax virescens",2022,38
"24","Acadian Flycatcher","Empidonax virescens",2023,32
"25","American Crow","Corvus brachyrhynchos",2000,358
"26","American Crow","Corvus brachyrhynchos",2001,436
"27","American Crow","Corvus brachyrhynchos",2002,365
"28","American Crow","Corvus brachyrhynchos",2003,390
"29","American Crow","Corvus brachyrhynchos",2004,312
"30","American Crow","Corvus brachyrhynchos",2005,298
"31","American Crow","Corvus brachyrhynchos",2006,398
"32","American Crow","Corvus brachyrhynchos",2007,384
"33","American Crow","Corvus brachyrhynchos",2008,401
"34","American Crow","Corvus brachyrhynchos",2009,443
"35","American Crow","Corvus brachyrhynchos",2010,322
"36","American Crow","Corvus brachyrhynchos",2011,282
"37","American Crow","Corvus brachyrhynchos",2012,358
"38","American Crow","Corvus brachyrhynchos",2013,333
"39","American Crow","Corvus brachyrhynchos",2014,315
"40","American Crow","Corvus brachyrhynchos",2015,277
"41","American Crow","Corvus brachyrhynchos",2016,297
"42","American Crow","Corvus brachyrhynchos",2017,312
"43","American Crow","Corvus brachyrhynchos",2018,273
"44","American Crow","Corvus brachyrhynchos",2019,280
"45","American Crow","Corvus brachyrhynchos",2020,274
"46","American Crow","Corvus brachyrhynchos",2021,264
"47","American Crow","Corvus brachyrhynchos",2022,284
"48","American Crow","Corvus brachyrhynchos",2023,295
"49","American Goldfinch","Spinus tristis",2000,64
"50","American Goldfinch","Spinus tristis",2001,77
"51","American Goldfinch","Spinus tristis",2002,126
"52","American Goldfinch","Spinus tristis",2003,104
