"","common_name","sci_name","year","count","County"
"1","Acadian Flycatcher","Empidonax virescens",2002,6,"Durham"
"2","Acadian Flycatcher","Empidonax virescens",2003,5,"Durham"
"3","Acadian Flycatcher","Empidonax virescens",2004,5,"Durham"
"4","Acadian Flycatcher","Empidonax virescens",2005,6,"Durham"
"5","Acadian Flycatcher","Empidonax virescens",2006,2,"Durham"
"6","Acadian Flycatcher","Empidonax virescens",2007,7,"Durham"
"7","Acadian Flycatcher","Empidonax virescens",2008,11,"Durham"
"8","Acadian Flycatcher","Empidonax virescens",2009,3,"Durham"
"9","Acadian Flycatcher","Empidonax virescens",2010,2,"Durham"
"10","Acadian Flycatcher","Empidonax virescens",2011,6,"Durham"
"11","Acadian Flycatcher","Empidonax virescens",2012,9,"Durham"
"12","Acadian Flycatcher","Empidonax virescens",2013,1,"Durham"
"13","Acadian Flycatcher","Empidonax virescens",2014,7,"Durham"
"14","Acadian Flycatcher","Empidonax virescens",2015,6,"Durham"
"15","Acadian Flycatcher","Empidonax virescens",2016,4,"Durham"
"16","Acadian Flycatcher","Empidonax virescens",2017,6,"Durham"
"17","Acadian Flycatcher","Empidonax virescens",2018,7,"Durham"
"18","Acadian Flycatcher","Empidonax virescens",2019,10,"Durham"
"19","Acadian Flycatcher","Empidonax virescens",2020,9,"Durham"
"20","Acadian Flycatcher","Empidonax virescens",2021,22,"Durham"
"21","Acadian Flycatcher","Empidonax virescens",2022,14,"Durham"
"22","Acadian Flycatcher","Empidonax virescens",2023,17,"Durham"
"23","American Crow","Corvus brachyrhynchos",2002,125,"Durham"
"24","American Crow","Corvus brachyrhynchos",2003,124,"Durham"
"25","American Crow","Corvus brachyrhynchos",2004,112,"Durham"
"26","American Crow","Corvus brachyrhynchos",2005,147,"Durham"
"27","American Crow","Corvus brachyrhynchos",2006,142,"Durham"
"28","American Crow","Corvus brachyrhynchos",2007,121,"Durham"
"29","American Crow","Corvus brachyrhynchos",2008,151,"Durham"
"30","American Crow","Corvus brachyrhynchos",2009,99,"Durham"
"31","American Crow","Corvus brachyrhynchos",2010,95,"Durham"
"32","American Crow","Corvus brachyrhynchos",2011,134,"Durham"
"33","American Crow","Corvus brachyrhynchos",2012,121,"Durham"
"34","American Crow","Corvus brachyrhynchos",2013,148,"Durham"
"35","American Crow","Corvus brachyrhynchos",2014,136,"Durham"
"36","American Crow","Corvus brachyrhynchos",2015,123,"Durham"
"37","American Crow","Corvus brachyrhynchos",2016,112,"Durham"
"38","American Crow","Corvus brachyrhynchos",2017,140,"Durham"
"39","American Crow","Corvus brachyrhynchos",2018,131,"Durham"
"40","American Crow","Corvus brachyrhynchos",2019,123,"Durham"
"41","American Crow","Corvus brachyrhynchos",2020,106,"Durham"
"42","American Crow","Corvus brachyrhynchos",2021,120,"Durham"
"43","American Crow","Corvus brachyrhynchos",2022,193,"Durham"
"44","American Crow","Corvus brachyrhynchos",2023,149,"Durham"
"45","American Goldfinch","Spinus tristis",2002,56,"Durham"
"46","American Goldfinch","Spinus tristis",2003,34,"Durham"
"47","American Goldfinch","Spinus tristis",2004,31,"Durham"
"48","American Goldfinch","Spinus tristis",2005,49,"Durham"
"49","American Goldfinch","Spinus tristis",2006,66,"Durham"
"50","American Goldfinch","Spinus tristis",2007,42,"Durham"
"51","American Goldfinch","Spinus tristis",2008,32,"Durham"
"52","American Goldfinch","Spinus tristis",2009,18,"Durham"
"53","American Goldfinch","Spinus tristis",2010,31,"Durham"
"54","American Goldfinch","Spinus tristis",2011,40,"Durham"
"55","American Goldfinch","Spinus tristis",2012,30,"Durham"
"56","American Goldfinch","Spinus tristis",2013,35,"Durham"
"57","American Goldfinch","Spinus tristis",2014,11,"Durham"
"58","American Goldfinch","Spinus tristis",2015,26,"Durham"
"59","American Goldfinch","Spinus tristis",2016,24,"Durham"
"60","American Goldfinch","Spinus tristis",2017,23,"Durham"
"61","American Goldfinch","Spinus tristis",2018,20,"Durham"
"62","American Goldfinch","Spinus tristis",2019,14,"Durham"
"63","American Goldfinch","Spinus tristis",2020,16,"Durham"
"64","American Goldfinch","Spinus tristis",2021,29,"Durham"
"65","American Goldfinch","Spinus tristis",2022,30,"Durham"
"66","American Goldfinch","Spinus tristis",2023,27,"Durham"
"67","American Redstart","Setophaga ruticilla",2002,1,"Durham"
"68","American Redstart","Setophaga ruticilla",2003,1,"Durham"
"69","American Redstart","Setophaga ruticilla",2004,1,"Durham"
"70","American Redstart","Setophaga ruticilla",2006,1,"Durham"
"71","American Redstart","Setophaga ruticilla",2009,1,"Durham"
"72","American Redstart","Setophaga ruticilla",2015,1,"Durham"
"73","American Redstart","Setophaga ruticilla",2016,1,"Durham"
"74","American Redstart","Setophaga ruticilla",2018,1,"Durham"
"75","American Redstart","Setophaga ruticilla",2019,1,"Durham"
"76","American Redstart","Setophaga ruticilla",2022,1,"Durham"
"77","American Robin","Turdus migratorius",2002,82,"Durham"
"78","American Robin","Turdus migratorius",2003,81,"Durham"
"79","American Robin","Turdus migratorius",2004,83,"Durham"
"80","American Robin","Turdus migratorius",2005,72,"Durham"
"81","American Robin","Turdus migratorius",2006,100,"Durham"
"82","American Robin","Turdus migratorius",2007,82,"Durham"
"83","American Robin","Turdus migratorius",2008,87,"Durham"
"84","American Robin","Turdus migratorius",2009,85,"Durham"
"85","American Robin","Turdus migratorius",2010,64,"Durham"
"86","American Robin","Turdus migratorius",2011,90,"Durham"
"87","American Robin","Turdus migratorius",2012,82,"Durham"
"88","American Robin","Turdus migratorius",2013,107,"Durham"
"89","American Robin","Turdus migratorius",2014,81,"Durham"
"90","American Robin","Turdus migratorius",2015,81,"Durham"
"91","American Robin","Turdus migratorius",2016,65,"Durham"
"92","American Robin","Turdus migratorius",2017,76,"Durham"
"93","American Robin","Turdus migratorius",2018,61,"Durham"
"94","American Robin","Turdus migratorius",2019,63,"Durham"
"95","American Robin","Turdus migratorius",2020,65,"Durham"
"96","American Robin","Turdus migratorius",2021,65,"Durham"
"97","American Robin","Turdus migratorius",2022,74,"Durham"
"98","American Robin","Turdus migratorius",2023,64,"Durham"
"99","American/Fish Crow","Corvus brachyrhynchos/ossifragus",2023,3,"Durham"
"100","Bald Eagle","Haliaeetus leucocephalus",2018,1,"Durham"
"101","Bald Eagle","Haliaeetus leucocephalus",2019,1,"Durham"
"102","Barn Swallow","Hirundo rustica",2002,26,"Durham"
"103","Barn Swallow","Hirundo rustica",2003,6,"Durham"
"104","Barn Swallow","Hirundo rustica",2004,18,"Durham"
"105","Barn Swallow","Hirundo rustica",2005,13,"Durham"
"106","Barn Swallow","Hirundo rustica",2006,12,"Durham"
"107","Barn Swallow","Hirundo rustica",2007,10,"Durham"
"108","Barn Swallow","Hirundo rustica",2008,7,"Durham"
"109","Barn Swallow","Hirundo rustica",2009,8,"Durham"
"110","Barn Swallow","Hirundo rustica",2010,8,"Durham"
"111","Barn Swallow","Hirundo rustica",2011,13,"Durham"
"112","Barn Swallow","Hirundo rustica",2012,11,"Durham"
"113","Barn Swallow","Hirundo rustica",2013,8,"Durham"
"114","Barn Swallow","Hirundo rustica",2014,14,"Durham"
