"","common_name","sci_name","year","route_num","mbbs_county","count","Percent_change_from_previous_year"
"1","Acadian Flycatcher","Empidonax virescens",2000,1,"chatham",2,NA
"2","Acadian Flycatcher","Empidonax virescens",2000,2,"chatham",2,NA
"3","Acadian Flycatcher","Empidonax virescens",2000,7,"chatham",1,NA
"4","Acadian Flycatcher","Empidonax virescens",2000,8,"chatham",2,NA
"5","Acadian Flycatcher","Empidonax virescens",2000,9,"chatham",3,NA
"6","Acadian Flycatcher","Empidonax virescens",2001,1,"chatham",1,-66.6666666666667
"7","Acadian Flycatcher","Empidonax virescens",2001,2,"chatham",3,200
"8","Acadian Flycatcher","Empidonax virescens",2001,4,"chatham",1,-66.6666666666667
"9","Acadian Flycatcher","Empidonax virescens",2001,6,"chatham",1,0
"10","Acadian Flycatcher","Empidonax virescens",2001,7,"chatham",1,0
"11","Acadian Flycatcher","Empidonax virescens",2001,8,"chatham",5,400
"12","Acadian Flycatcher","Empidonax virescens",2001,9,"chatham",4,-20
"13","Acadian Flycatcher","Empidonax virescens",2001,14,"chatham",1,-75
"14","Acadian Flycatcher","Empidonax virescens",2002,1,"chatham",1,0
"15","Acadian Flycatcher","Empidonax virescens",2002,2,"chatham",1,0
"16","Acadian Flycatcher","Empidonax virescens",2002,4,"chatham",1,0
"17","Acadian Flycatcher","Empidonax virescens",2002,5,"chatham",1,0
"18","Acadian Flycatcher","Empidonax virescens",2002,7,"chatham",3,200
"19","Acadian Flycatcher","Empidonax virescens",2002,8,"chatham",2,-33.3333333333333
"20","Acadian Flycatcher","Empidonax virescens",2002,9,"chatham",1,-50
"21","Acadian Flycatcher","Empidonax virescens",2002,10,"chatham",1,0
"22","Acadian Flycatcher","Empidonax virescens",2003,1,"chatham",1,0
"23","Acadian Flycatcher","Empidonax virescens",2003,2,"chatham",3,200
"24","Acadian Flycatcher","Empidonax virescens",2003,6,"chatham",1,-66.6666666666667
"25","Acadian Flycatcher","Empidonax virescens",2003,7,"chatham",2,100
"26","Acadian Flycatcher","Empidonax virescens",2003,9,"chatham",1,-50
"27","Acadian Flycatcher","Empidonax virescens",2003,12,"chatham",1,0
"28","Acadian Flycatcher","Empidonax virescens",2004,1,"chatham",2,100
"29","Acadian Flycatcher","Empidonax virescens",2004,2,"chatham",2,0
"30","Acadian Flycatcher","Empidonax virescens",2004,4,"chatham",1,-50
"31","Acadian Flycatcher","Empidonax virescens",2004,6,"chatham",2,100
"32","Acadian Flycatcher","Empidonax virescens",2004,12,"chatham",1,-50
